"analysis_protocol","method","design","genes","active_genes","auroc","average_precision","effect_spearman_active","direction_accuracy_active","calls_fdr_0_10","directional_recall_fdr_0_10","empirical_fdp_fdr_0_10","f1_fdr_0_10","negative_control_p_below_0_05","scenario_id","seed","moi","high_quality_guide_fraction","replicates","is_baseline"
"barcs-three-methods-v1","BARCS-original","Low + bulk + high",400,79,0.961394376749872,0.922502304975492,0.943670886075949,1,59,0.69620253164557,0.0677966101694915,0.797101449275362,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,4,TRUE
"barcs-three-methods-v1","BARCS-partial","Low + bulk + high",400,79,0.94029733033637,0.878273201109185,0.92738558909445,1,47,0.556962025316456,0.0638297872340425,0.698412698412698,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,4,TRUE
"barcs-three-methods-v1","BARCS-EB","Low + bulk + high",400,79,0.957727039709768,0.916588313951218,0.926898734177215,1,45,0.569620253164557,0,0.725806451612903,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,4,TRUE
"barcs-three-methods-v1","BARCS-original","Two 25% tails",400,79,0.960250798533065,0.919701742121831,0.937463485881207,1,52,0.645569620253165,0.0192307692307692,0.778625954198473,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,4,TRUE
"barcs-three-methods-v1","BARCS-partial","Two 25% tails",400,79,0.941953547064159,0.874545380586382,0.921032132424538,1,44,0.518987341772152,0.0681818181818182,0.666666666666667,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,4,TRUE
"barcs-three-methods-v1","BARCS-EB","Two 25% tails",400,79,0.952758389526401,0.907917535229471,0.922249269717624,1,47,0.582278481012658,0.0212765957446809,0.73015873015873,0,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,4,TRUE
"barcs-three-methods-v1","BARCS-original","Unsorted 0-100%",400,79,0.480460585985252,0.187642177184974,0.0578383641674781,0.455696202531646,0,0,0,0,0.05,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,4,TRUE
"barcs-three-methods-v1","BARCS-partial","Unsorted 0-100%",400,79,0.455972238652944,0.188290278882702,0.213753651411879,0.544303797468354,0,0,0,0,0.05,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,4,TRUE
"barcs-three-methods-v1","BARCS-EB","Unsorted 0-100%",400,79,0.455617335068418,0.188523990543539,0.205038948393379,0.556962025316456,0,0,0,0,0.05,"moi_0.25_quality_0.9_genes_400_replicates_4",20250724,0.25,0.9,4,TRUE
"barcs-three-methods-v1","BARCS-original","Low + bulk + high",400,60,0.947549019607843,0.881906303969296,0.919699916643512,0.983333333333333,40,0.65,0.025,0.78,0.1,"moi_0.25_quality_0.9_genes_400_replicates_4",20250725,0.25,0.9,4,TRUE
